aleph,ℵ
gimel,ג
alpha,α
iota,ι
sigma,σ
beta,β
kappa,κ
tau,τ
gamma,γ
lambda,λ
upsilon,υ
delta,δ
mu,µ
phi,φ
nu,ν
chi,χ
zeta,ζ
xi,ξ
psi,ψ
eta,η
pi,π
omega,ω
theta,θ
rho,ρ
varepsilon,ε
varsigma,ς
vartheta,ϑ
varphi,ϕ
digamma,z
varkappa,κ
Gamma,Γ
Xi,Ξ
Phi,Φ
Delta,∆
Pi,Π
Psi,Ψ
Theta,Θ
Sigma,Σ
Omega,Ω
Lambda,Λ
Upsilon,Υ
varGamma,Γ
varXi,Ξ
varPhi,Φ
varDelta,∆
varPi,Π
varPsi,Ψ
varTheta,Θ
varSigma,Σ
varOmega,Ω
varLambda,Λ
varUpsilon,Υ
in,∈
leq,≤
le,≤
geq,≥
ge,≥
prec,≺
sim,∼
approx,≈
equiv,≡
doteq,.=
subset,⊂
supset,⊃
subseteq,⊆
supseteq,⊇
smile,^
frown,_
perp,⊥
models,|=
mid,|
propto,∝
lll,≪
ggg,≫
lessgtr,≶
gtrless,≷
therefore,∴
because,∵
pm,±
mp,∓
times,×
cdot,·
circ,◦
div,÷
cap,∩
cup,∪
oplus,⊕
otimes,⊗
bullet,•
dagger,†
ddagger,‡
ast,∗
And,&
leftarrow,←
rightarrow,→
to,→
longleftarrow,←−
longrightarrow,−→
Leftarrow,⇐
Rightarrow,⇒
Longleftarrow,⇐=
Longrightarrow,=⇒
leftrightarrow,↔
longleftrightarrow,←→
Leftrightarrow,⇔
Longleftrightarrow,⇐⇒
uparrow,↑
downarrow,↓
Uparrow,⇑
Downarrow,⇓
iff,⇐⇒
leftleftarrows,⇔
rightrightarrows,⇒
imath,ı
wp,℘
partial,∂
infty,∞
emptyset,∅
varnothing,∅
forall,∀
exists,∃
smallint,∫
bot,⊥
P,¶
S,§
dag,†
ddag,‡
angle,∠
clubsuit,♣
diamondsuit,♦
heartsuit,♥
spadesuit,♠
surd,√
nabla,∇
pounds,£
eth,ð
lozenge,♦
chrome,\run C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
myCode,\code 1.ts
partionC,\run explorer.exe| c:
